"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length"
"CH","2024-09-25","83.9","2.11","5.99","Sánchez, Cristopher",621020,650911,,"foul",,,,,5,"Dansby Swanson walks.","R","R","L","PHI","CHC","S",,,1,1,2024,"1.45","-0.07","0","2.67",,,,2,5,"Top",,,,,592663,,,-7.867116383509751,-122.04520830419712,-1.1623666798503092,16.007377529457173,22.14217716904159,-32.90834759631444,"3.62","1.73",6,"69.8",-23,"85.4",1886,"7.1",745521,650911,592663,547180,681082,665019,607208,669720,669016,592206,"53.39",,,,,,,,40,3,"Changeup",5,3,3,5,3,5,3,5,"Standard","Standard",102,"0","-0.025","74.18611","7.17217"
"SI","2024-09-25","93.5","2.07","6.11","Sánchez, Cristopher",621020,650911,,"called_strike",,,,,14,"Dansby Swanson walks.","R","R","L","PHI","CHC","S",,,1,0,2024,"1.6","0.53","0.94","2.15",,,,2,5,"Top",,,,,592663,,,-6.5380107776203324,-136.07970834207117,-5.733570805213846,21.353566705089047,27.678701538909323,-24.539976364494432,"3.66","1.78",,,,"95",2048,"7",745521,650911,592663,547180,681082,665019,607208,669720,669016,592206,"53.53",,,,,,,,40,2,"Sinker",5,3,3,5,3,5,3,5,"Standard","Standard",120,"0","-0.02",,
"CH","2024-09-25","85.3","2.04","6.09","Sánchez, Cristopher",621020,650911,,"ball",,,,,13,"Dansby Swanson walks.","R","R","L","PHI","CHC","B",,,0,0,2024,"1.54","0.21","-0.91","0",,,,2,5,"Top",,,,,592663,,,-10.151837960416845,-123.67511094506041,-8.529418748413388,17.751470251394416,23.595594644104178,-28.451928900080276,"3.62","1.84",,,,"86.4",1921,"7.1",745521,650911,592663,547180,681082,665019,607208,669720,669016,592206,"53.43",,,,,,,,40,1,"Changeup",5,3,3,5,3,5,3,5,"Standard","Standard",106,"0","0.015",,
"SI","2024-09-25","93.1","1.87","6.11","Sánchez, Cristopher",664023,650911,"field_out","hit_into_play",,,,,4,"Ian Happ lines out to right fielder Nick Castellanos.","R","R","L","PHI","CHC","X",9,"line_drive",3,1,2024,"1.56","0.51","-0.31","2.24",,,,1,5,"Top",177.71,102.82,,,592663,,,-9.159324640353129,-135.28936081144326,-5.393637954615877,21.085981665660633,27.530566911747666,-24.96279696467032,"3.43","1.6",272,"98.9",15,"94.7",1980,"7.1",745521,650911,592663,547180,681082,665019,607208,669720,669016,592206,"53.35",0.766,0.734,"0",1,0,0,4,39,5,"Sinker",5,3,3,5,3,5,3,5,"Standard","Standard",119,"0.019","-0.268","74.85304","6.35988"
"SI","2024-09-25","94.5","1.87","6.08","Sánchez, Cristopher",664023,650911,,"called_strike",,,,,8,"Ian Happ lines out to right fielder Nick Castellanos.","R","R","L","PHI","CHC","S",,,3,0,2024,"1.52","0.44","-0.18","1.82",,,,1,5,"Top",,,,,592663,,,-8.857554576793165,-137.37217740154702,-6.5302587023019445,21.15836867352355,28.130118494724837,-25.33224531462727,"3.48","1.58",,,,"96.1",2000,"7.1",745521,650911,592663,547180,681082,665019,607208,669720,669016,592206,"53.38",,,,,,,,39,4,"Sinker",5,3,3,5,3,5,3,5,"Standard","Standard",125,"0","-0.051",,
"CH","2024-09-25","82.9","2.12","6.06","Sánchez, Cristopher",664023,650911,,"ball",,,,,12,"Ian Happ lines out to right fielder Nick Castellanos.","R","R","L","PHI","CHC","B",,,2,0,2024,"1.4","-0.03","1.69","2.97",,,,1,5,"Top",,,,,592663,,,-3.7434446626791544,-120.70505152901342,-0.5469098924814448,14.39360172838403,22.52589588285984,-32.5938865306881,"3.51","1.65",,,,"83.9",1724,"6.8",745521,650911,592663,547180,681082,665019,607208,669720,669016,592206,"53.68",,,,,,,,39,3,"Changeup",5,3,3,5,3,5,3,5,"Standard","Standard",101,"0","0.088",,
"CH","2024-09-25","82.7","2.21","6.1","Sánchez, Cristopher",664023,650911,,"ball",,,,,14,"Ian Happ lines out to right fielder Nick Castellanos.","R","R","L","PHI","CHC","B",,,1,0,2024,"1.49","0.12","1.06","2.55",,,,1,5,"Top",,,,,592663,,,-5.611220295110915,-120.36250639182225,-1.831810148481361,15.534365096726384,23.79953231102425,-30.842071312923146,"3.48","1.65",,,,"83.7",1679,"7",745521,650911,592663,547180,681082,665019,607208,669720,669016,592206,"53.52",,,,,,,,39,2,"Changeup",5,3,3,5,3,5,3,5,"Standard","Standard",105,"0","0.046",,
"SI","2024-09-25","94.3","1.95","6.11","Sánchez, Cristopher",664023,650911,,"ball",,,,,12,"Ian Happ lines out to right fielder Nick Castellanos.","R","R","L","PHI","CHC","B",,,0,0,2024,"1.7","0.59","1.1","2.91",,,,1,5,"Top",,,,,592663,,,-6.0773566803664805,-137.1942412822579,-3.974208374658329,22.813056923920264,31.743847683899606,-23.984913152759713,"3.55","1.62",,,,"95.2",1963,"6.9",745521,650911,592663,547180,681082,665019,607208,669720,669016,592206,"53.58",,,,,,,,39,1,"Sinker",5,3,3,5,3,5,3,5,"Standard","Standard",122,"0","0.025",,
"SL","2024-09-25","84.5","1.96","6.08","Sánchez, Cristopher",682634,650911,"strikeout","swinging_strike",,,,,13,"Kevin Alcántara strikes out swinging.","R","R","L","PHI","CHC","S",2,,0,2,2024,"-0.08","-0.4","-0.29","1.1",,,,0,5,"Top",,,,,592663,,,-5.152205852274226,-122.9049359008521,-4.505923587109925,0.2025551117543683,24.127016317850874,-35.58280869391752,"3.66","1.68",,,,"85.6",1995,"7",745521,650911,592663,547180,681082,665019,607208,669720,669016,592206,"53.52",,0,"0",1,0,0,,38,3,"Slider",5,3,3,5,3,5,3,5,"Standard","Standard",319,"0.028","-0.146","74.939","8.91823"
"CH","2024-09-25","83.7","2.1","6.03","Sánchez, Cristopher",682634,650911,,"foul",,,,,8,"Kevin Alcántara strikes out swinging.","R","R","L","PHI","CHC","S",,,0,1,2024,"1.57","0.02","-0.23","1.9",,,,0,5,"Top",,,,,592663,,,-8.550920528640884,-121.61357578696426,-3.141590672665284,17.234088741824948,24.44376615554841,-31.49715822946422,"3.66","1.68",116,"59.2",67,"84.4",2012,"6.9",745521,650911,592663,547180,681082,665019,607208,669720,669016,592206,"53.63",,,,,,,,38,2,"Changeup",5,3,3,5,3,5,3,5,"Standard","Standard",102,"0","-0.049","78.92666","8.41953"
